Symbol,Price,Yield
PEP,110.15,2.8370044
PKI,72.06,0.3695394
PRGO,84.44,0.73126143
PFE,33.63,3.8879359
PCG,38.24,0
PM,100.39,4.328479
PSX,92.44,2.928564
PNW,74.34,3.698776
PXD,169.16,0.1816118
PNC,149.38,1.9354838
RL,101.32,1.8570102
PPG,110.3,1.5771489
PPL,29.52,5.2196894
PX,144.07,2.1998534
PCLN,1806.06,0
PFG,60.38,3.1914895
PG,80.22,3.3704789
PGR,51.07,2.1061797
PLD,58.33,2.931379
PRU,103.38,2.6985698
PEG,46.73,3.60587
PSA,180.49,4.316159
PHM,28.67,1.2036108
PVH,142.68,0.100529455
QRVO,76.85,0
QCOM,62.42,3.5055351
PWR,33.51,0
DGX,96.42,1.9884669
RRC,12.82,0.6097561
RJF,86.06,1.0982976
RTN,198.74,1.5612764
O,47.56,5.372036
RHT,124.65,0
REG,55.58,3.6850338
REGN,322.62,0
RF,17.9,1.8987342
RSG,62.72,2.1362228
RMD,89.26,1.5120423
RHI,52.26,1.7075773
ROK,178.73,1.7692552
COL,133.31,0.9748892
ROP,259.4,0.61985797
ROST,75.06,0.82061803
RCL,122.45,1.8674136
SPGI,173.31,1.0947506
CRM,104.03,0
SBAC,159.85,0
SCG,35.6,6.6830335
SLB,67.4,2.8673835
SNI,86.46,1.3761468
STX,47.44,5.085772
SEE,42.62,1.4427412
SRE,103.36,3.1607263
SHW,387.65,0.8426688
SIG,49.38,2.4730754
SPG,152.18,5.0368075
SWKS,99.04,1.2629502
SLG,90.61,3.4998922
SNA,156.72,1.968433
SO,43.4,5.3530226
LUV,55.63,0.863707
SWK,152.86,1.5775635
SBUX,53.77,2.203452
STT,98.54,1.6228749
SRCL,70.55,0
SYK,148.01,1.2234008
STI,65.8,2.3185046
SYMC,25.59,1.1286682
SYF,34.98,1.6
SNPS,82.62,0
SYY,57,2.4644873
TROW,101.99,2.140443
TPR,48.85,0
TGT,71.11,3.3856654
TEL,95.27,1.6062645
FTI,29.1,1.7060367
TXN,97.66,2.4318495
TXT,55.54,0.1381454
